Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
India,IND,Net migration,SM.POP.NETM,52264,114181,110398,48986,5837,19077,-144807,-124336,-184326,-171683,-45792,-220417,-60291,-62763,-168162,-225989,-436104,-31092,-13841,68198,202323,23662,-26106,46174,-57788,-112781,-258917,-232178,-103742,-13987,108465,-158007,8198,2440,110095,-57139,-26079,1240,-28485,-106592,-149966,-177306,-208070,-255516,-214351,-550186,-678231,-769184,-846785,-803437,-380087,-244114,-180991,-236387,-310694,-475094,68119,-219656,-561563,-593495,-34772,-301970,-487303,-486136
Pakistan,PAK,Net migration,SM.POP.NETM,0,-133982,-131607,-129202,-126712,-124241,-122151,-119938,-117510,-114875,-116631,-136808,-138485,-116081,-69596,-3437,47154,84000,110097,450001,1078233,997103,552153,73873,-351354,282435,199664,326899,148304,68004,30184,-6127,-1320633,-278,-276644,296208,147987,151546,148849,148403,940739,344288,-834546,-578225,-524871,-632467,-628923,-563471,-525915,-338507,-431891,-890633,-1647986,-1906315,-2037911,-2172159,-2290411,-1574581,-1309609,-1177218,-588736,-471395,-165988,-165988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
