country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,445954579.0,456351876.0,467024193.0,477933619.0,489059309.0,500114346.0,510992617.0,521987069.0,533431909.0,545314670.0,557501301.0,569999178.0,582837973.0,596107483.0,609721951.0,623524219.0,637451448.0,651685628.0,666267760.0,681248383.0,696828385.0,712869298.0,729169466.0,745826546.0,762895156.0,780242084.0,797878993.0,815716125.0,833729681.0,852012673.0,870452165.0,888941756.0,907574049.0,926351297.0,945261958.0,964279129.0,983281218.0,1002335230.0,1021434576.0,1040500054.0,1059633675.0,1078970907.0,1098313039.0,1117415123.0,1136264583.0,1154638713.0,1172373788.0,1189691809.0,1206734806.0,1223640160.0,1240613620.0,1257621191.0,1274487215.0,1291132063.0,1307246509.0,1322866505.0,1338636340.0,1354195680.0,1369003306.0,1383112050.0,1396387127.0,1407563842.0,1417173173.0,1428627663.0
Pakistan,45954226.0,47060915.0,48161841.0,49325050.0,50552592.0,51841626.0,53199414.0,54629793.0,56124743.0,57676805.0,59290872.0,60878781.0,62509565.0,64285624.0,66149169.0,68126999.0,70230923.0,72451105.0,74789330.0,77407341.0,80624057.0,84270202.0,87828198.0,91080372.0,94003867.0,97121552.0,100618523.0,104251093.0,107967838.0,111670386.0,115414069.0,119203569.0,122375179.0,125546615.0,129245139.0,133117476.0,137234810.0,141330267.0,145476106.0,149694462.0,154369924.0,159217727.0,163262807.0,166876680.0,170648620.0,174372098.0,178069984.0,181924521.0,185931955.0,190123222.0,194454498.0,198602738.0,202205861.0,205337562.0,208251628.0,210969298.0,213524840.0,216379655.0,219731479.0,223293280.0,227196741.0,231402117.0,235824862.0,240485658.0
